Partenza,Destinazione,Peso del link
Brescia,Cusio,6562600.889661414
Brescia,Torino,58783710.07630259
Brescia,Cuneo,9626712.931645533
Brescia,Vercelli,5755966.792388908
Brescia,Savona,0.0
Brescia,Genova,12370864.234172456
Brescia,Imperia,0.0
Pavia,La Spezia,0.0
Pavia,Varese,10634737.320615975
Pavia,Como,4488826.275244604
Pavia,Lecco,6265777.447435021
Pavia,Sondrio,0.0
Pavia,Milano,63754733.600697555
Pavia,Bergamo,18462259.316396054
Pavia,Brescia,17418681.348011684
Pavia,Pavia,0.0
Pavia,Lodi,5006735.004262173
Pavia,Cremona,4559321.443297623
Pavia,Mantova,0.0
Pavia,Bolzano,0.0
Pavia,Trento,0.0
Pavia,Treviso,0.0
Pavia,Gorizia,0.0
Pavia,L'Aquila,0.0
Pavia,Teramo,0.0
Pavia,Pescara,0.0
Pavia,Chieti,0.0
Pavia,Isernia,0.0
Pavia,Lecce,0.0
Pavia,Potenza,0.0
Pavia,Matera,0.0
Pavia,Sassari,0.0
Pavia,Nuoro,0.0
Pavia,Cagliari,0.0
Pavia,Oristano,0.0
Pavia,Cosenza,0.0
Pavia,Massa,0.0
Pavia,Benevento,0.0
Pavia,Caserta,0.0
Pavia,Lucca,0.0
Pavia,Vicenza,6222701.721708711
Pavia,Belluno,0.0
Pavia,Crotone,0.0
Pavia,Salerno,0.0
Pavia,Prato,0.0
Pavia,Napoli,0.0
Pavia,Avellino,0.0
Pavia,Verona,3913622.2863117317
Pavia,Reggio di Calabria,0.0
Pavia,Padova,0.0
Pavia,Campobasso,0.0
Pavia,Vibo Valentia,0.0
Pavia,Arezzo,0.0
Pavia,Catanzaro,0.0
Pavia,Pistoia,0.0
Pavia,Firenze,0.0
Pavia,Monza,16868997.52350617
Pavia,Livorno,0.0
Pavia,Venezia,0.0
Pavia,Rovigo,0.0
Pavia,Pisa,0.0
Pavia,Catania,0.0
Pavia,Trieste,0.0
Pavia,Foggia,0.0
Pavia,Caltanissetta,0.0
Pavia,Bari,0.0
Pavia,Siena,0.0
Pavia,Udine,0.0
Pavia,Taranto,0.0
Pavia,Siracusa,0.0
Pavia,Enna,0.0
Pavia,Trapani,0.0
Pavia,Agrigento,0.0
Pavia,Grosseto,0.0
Pavia,Brindisi,0.0
Pavia,Ragusa,0.0
Pavia,Perugia,0.0
Pavia,Terni,0.0
Pavia,Fermo,0.0
Pavia,Messina,0.0
Pavia,Palermo,0.0
Pavia,Barletta,0.0
Pavia,Forlì,0.0
Pavia,Pordenone,0.0
Pavia,Rimini,0.0
Pavia,Parma,0.0
Pavia,Macerata,0.0
Pavia,Modena,5112069.231204623
